id_departement;libelle_de_commune;Latitude;Longitude
77;Beaumont-du-Gâtinais;48,14077042;2,492034691
77;Château-Landon;48,14836676;2,699708697
77;Bransles;48,14907968;2,828144453
77;Mondreville;48,15104973;2,597643554
77;Gironville;48,16269119;2,533415487
77;Chenou;48,16503036;2,652744453
77;Arville;48,18127559;2,55657978
77;Égreville;48,18212852;2,884371183
77;Maisoncelles-en-Gâtinais;48,18279297;2,621229709
77;Souppes-sur-Loing;48,18687345;2,747532452
77;Chaintreaux;48,19110116;2,814199448
77;Bougligny;48,19900494;2,667120749
77;Villebéon;48,20491389;2,928373011
77;Aufferville;48,20493428;2,600967833
77;La Madeleine-sur-Loing;48,20510691;2,70184814
77;Ichy;48,20628678;2,541771343
77;Obsonville;48,21655517;2,568649504
77;Vaux-sur-Lunain;48,21721277;2,956086872
77;Remauville;48,22059662;2,825371922
77;Bagneaux-sur-Loing;48,22331317;2,707509702
77;Faÿ-lès-Nemours;48,22768747;2,664121711
77;Châtenoy;48,23087815;2,62712493
77;Burcy;48,23306895;2,525554224
77;Poligny;48,23367855;2,756343215
77;Garentreville;48,23398844;2,559801211
77;Lorrez-le-Bocage-Préaux;48,23973101;2,896488129
77;Paley;48,24099023;2,853934445
77;Ormesson;48,24363015;2,651602281
77;Blennes;48,2449362;3,011975438
77;Chevrainvilliers;48,24597893;2,602460707
77;Chevry-en-Sereine;48,24860775;2,960383877
77;Fromont;48,25351128;2,508350173
77;Nanteau-sur-Lunain;48,25429476;2,813040785
77;Nemours;48,25960679;2,711079931
77;Guercheville;48,25971747;2,557718182
77;Boulancourt;48,26145089;2,451124048
77;Saint-Pierre-lès-Nemours;48,26468805;2,666473814
77;Rumont;48,27035865;2,495117694
77;Villemaréchal;48,27169757;2,868548145
77;Saint-Ange-le-Viel;48,27236867;2,904714455
77;Treuzy-Levelay;48,27301198;2,794817349
77;Darvault;48,27703888;2,72843016
77;Larchant;48,28292753;2,598866696
77;Voulx;48,28520611;2,969982523
77;Buthiers;48,28691477;2,453666872
77;Amponville;48,28743717;2,530690737
77;Nonville;48,28866643;2,773929497
77;Diant;48,29140844;3,005082947
77;Thoury-Férottes;48,29745864;2,939720648
77;Montcourt-Fromonville;48,29917848;2,71237772
77;Villemer;48,30365721;2,826057744
91;Estouches;48,30697808;2,132611181
