ville;mediane_niveau_de_vie_2019;part_menages_fiscaux_imposés_2019
Aizelles;22760;
Aizy-Jouy;20300;
Alaincourt;19950;
Allemant;18920;
Ambleny;22490;
Ambrief;;
Amifontaine;19610;
Amigny-Rouy;20950;
Ancienville;;
Andelain;19800;
Anguilcourt-le-Sart;18910;
Anizy-le-Grand;19210;47
Annois;19720;
Any-Martin-Rieux;18280;
Archon;;
Arcy-Sainte-Restitue;20030;
Armentières-sur-Ourcq;21400;
Arrancy;;
Artemps;20730;
Assis-sur-Serre;19990;
Athies-sous-Laon;21150;52
Attilly;21360;
Aubencheul-aux-Bois;19470;
Aubenton;16230;
Aubigny-aux-Kaisnes;17820;
Aubigny-en-Laonnois;20830;
Audignicourt;21490;
Audigny;16320;
Augy;;
Aulnois-sous-Laon;20590;
Les Autels;;
Autremencourt;19100;
Autreppes;17850;
Autreville;21340;
Azy-sur-Marne;22270;
Bagneux;;
Bancigny;;
Barenton-Bugny;19850;
Barenton-Cel;19480;
Barenton-sur-Serre;21410;
Barisis-aux-Bois;21050;
Barzy-en-Thiérache;18610;
Barzy-sur-Marne;23310;
Bassoles-Aulers;18190;
Vallées en Champagne;24020;
Bazoches-sur-Vesles;21120;
Beaumé;;
Beaumont-en-Beine;19850;
Beaurevoir;17720;
Beaurieux;19640;
Beautor;16180;32
Beauvois-en-Vermandois;21310;
Becquigny;18140;
Belleau;23340;
Bellenglise;18830;
Belleu;18580;44
Bellicourt;19200;
Benay;21350;
Bergues-sur-Sambre;20150;
Berlancourt;;
Berlise;15240;
Bernot;19900;
Berny-Rivière;21950;
Berrieux;23940;
Berry-au-Bac;20780;
Bertaucourt-Epourdon;19500;
Berthenicourt;22520;
Bertricourt;22780;
Berzy-le-Sec;22110;
Besmé;17140;
Besmont;17600;
Besny-et-Loizy;24100;
Béthancourt-en-Vaux;20660;
Beugneux;20490;
Beuvardes;20950;
Bézu-le-Guéry;22830;
Bézu-Saint-Germain;21500;
Bichancourt;20520;
Bieuxy;;
Bièvres;;
Billy-sur-Aisne;20520;
Billy-sur-Ourcq;19500;
Blanzy-lès-Fismes;;
Blérancourt;18370;
Blesmes;22490;
Bohain-en-Vermandois;14480;29
Bois-lès-Pargny;21790;
Boncourt;18010;
Bonneil;23720;
Bonnesvalyn;21260;
Bony;19060;
Bosmont-sur-Serre;20290;
Bouconville-Vauclair;22870;
Boué;18890;
Bouffignereux;;
Bouresches;20030;
Bourg-et-Comin;18550;
Bourguignon-sous-Coucy;16300;
Bourguignon-sous-Montbavin;20750;
La Bouteille;19000;
Braine;18450;39
Brancourt-en-Laonnois;21080;
Brancourt-le-Grand;20440;
Brasles;20910;
Braye-en-Laonnois;20470;
Braye-en-Thiérache;19100;
Bray-Saint-Christophe;;
Braye;22230;
Brécy;20570;
Brenelle;19090;
Breny;19150;
Brie;;
Brissay-Choigny;21070;
Brissy-Hamégicourt;20390;
Brumetz;21210;
Brunehamel;16760;
Bruyères-sur-Fère;19650;
Bruyères-et-Montbérault;22330;
Bruys;;
Bucilly;17040;
Bucy-le-Long;21850;
Bucy-lès-Cerny;23270;
Bucy-lès-Pierrepont;17720;
Buire;19140;
Buironfosse;17840;
Burelles;21410;
Bussiares;23830;
Buzancy;22720;
Caillouël-Crépigny;22120;
Camelin;20100;
La Capelle;17140;
Castres;23240;
Le Catelet;18880;
Caulaincourt;22460;
Caumont;21360;
Celles-lès-Condé;;
Celles-sur-Aisne;21140;
Cerizy;;
Cerny-en-Laonnois;;
Cerny-lès-Bucy;26130;
Cerseuil;;
Cessières-Suzy;21150;
Chacrise;21120;
Chaillevois;23040;
Chalandry;20840;
Chambry;20880;
Chamouille;20140;
Champs;20380;
Chaourse;18160;
La Chapelle-sur-Chézy;20250;
Charly-sur-Marne;19900;48
Le Charmel;19170;
Charmes;19390;
Chartèves;23790;
Chassemy;21090;
Château-Thierry;17540;44
Châtillon-lès-Sons;;
Châtillon-sur-Oise;20530;
Chaudardes;;
Chaudun;20710;
Chauny;16830;37
Chavignon;20030;
Chavigny;19170;
Chavonne;19420;
Chérêt;21080;
Chermizy-Ailles;;
Chéry-Chartreuve;20110;
Chéry-lès-Pouilly;20310;
Chéry-lès-Rozoy;;
Chevennes;15570;
Chevregny;24260;
Chevresis-Monceau;19040;
Chézy-en-Orxois;22380;
Chézy-sur-Marne;22090;
Chierry;23020;
Chigny;17670;
Chivres-en-Laonnois;18080;
Chivres-Val;20850;
Chivy-lès-Étouvelles;21460;
Chouy;20200;
Cierges;;
Cilly;19230;
Ciry-Salsogne;21730;
Clacy-et-Thierret;22880;
Clairfontaine;20530;
Clamecy;20900;
Clastres;20120;
Clermont-les-Fermes;16340;
Cœuvres-et-Valsery;21920;
Coincy;18300;
Coingt;;
Colligis-Crandelain;20350;
Colonfay;;
Commenchon;20790;
Concevreux;22290;
Condé-en-Brie;18510;
Condé-sur-Aisne;20150;
Condé-sur-Suippe;20930;
Condren;20380;
Connigis;21550;
Contescourt;;
Corbeny;20950;
Corcy;21950;
Coucy-le-Château-Auffrique;20050;
Coucy-lès-Eppes;19620;
Coucy-la-Ville;20220;
Coulonges-Cohan;20060;
Coupru;21750;
Courbes;;
Courboin;21120;
Courcelles-sur-Vesle;19910;
Courchamps;;
Courmelles;21120;
Courmont;20700;
Courtemont-Varennes;20310;
Courtrizy-et-Fussigny;;
Couvrelles;21620;
Couvron-et-Aumencourt;18390;
Coyolles;22330;
Cramaille;20740;
Craonne;;
Craonnelle;20550;
Crécy-au-Mont;19710;
Crécy-sur-Serre;18590;
Crépy;19060;
Crézancy;18830;
Croix-Fonsomme;19430;
La Croix-sur-Ourcq;21380;
Crouttes-sur-Marne;21390;
Crouy;19680;47
Crupilly;;
Cuffies;20190;
Cugny;20810;
Cuirieux;16990;
Cuiry-Housse;;
Cuiry-lès-Chaudardes;;
Cuiry-lès-Iviers;;
Cuissy-et-Geny;;
Cuisy-en-Almont;22830;
Cutry;21330;
Cys-la-Commune;20500;
Dagny-Lambercy;16110;
Dallon;24010;
Dammard;21420;
Dampleux;22920;
Danizy;17930;
Dercy;20190;
Deuillet;20900;
Dhuizel;19500;
Dizy-le-Gros;17090;
Dohis;18500;
Dolignon;;
Dommiers;20650;
Domptin;21860;
Dorengt;19600;
Douchy;17860;
Dravegny;19140;
Droizy;;
Dury;21430;
Ébouleau;19530;
Effry;15930;
Englancourt;20230;
Épagny;17470;
Éparcy;;
Épaux-Bézu;22860;
Épieds;21640;
L'Épine-aux-Bois;20590;
Eppes;21000;
Erlon;18430;
Erloy;;
Esquéhéries;18550;
Essigny-le-Grand;23380;
Essigny-le-Petit;18810;
Essises;22310;
Essômes-sur-Marne;21790;59
Estrées;20230;
Étampes-sur-Marne;20740;
Étaves-et-Bocquiaux;18910;
Étouvelles;24800;
Étréaupont;16880;
Étreillers;21730;
Étrépilly;21550;
Étreux;18190;
Évergnicourt;21120;
Faverolles;22220;
Fayet;28590;
La Fère;14360;30
Fère-en-Tardenois;17370;37
La Ferté-Chevresis;18080;
La Ferté-Milon;20920;51
Fesmy-le-Sart;17790;
Festieux;19370;
Fieulaine;20340;
Filain;20350;
La Flamengrie;19900;
Flavigny-le-Grand-et-Beaurain;19010;
Flavy-le-Martel;19310;
Fleury;25290;
Fluquières;23470;
Folembray;18670;
Fonsomme;18110;
Fontaine-lès-Clercs;22870;
Fontaine-lès-Vervins;20160;
Fontaine-Notre-Dame;22380;
Fontaine-Uterte;20980;
Fontenelle;18210;
Fontenoy;20890;
Foreste;18630;
Fossoy;23970;
Fourdrain;22690;
Francilly-Selency;23880;
Franqueville;18510;
Fresnes-en-Tardenois;21250;
Fresnes-sous-Coucy;18430;
Fresnoy-le-Grand;17330;36
Fressancourt;20440;
Frières-Faillouël;21330;
Froidestrées;19010;
Froidmont-Cohartille;18920;
Gandelu;20440;
Gauchy;19200;45
Gercy;21470;
Gergny;17460;
Germaine;;
Gibercourt;;
Gizy;20410;
Gland;24090;
Goudelancourt-lès-Berrieux;;
Goudelancourt-lès-Pierrepont;20050;
Goussancourt;21950;
Gouy;17730;
Grandlup-et-Fay;19560;
Grandrieux;;
Gricourt;21880;
Grisolles;18640;
Gronard;;
Grougis;18270;
Grugies;20130;
Villeneuve-sur-Aisne;21160;51
Guise;15840;32
Guivry;19560;
Guny;18070;
Guyencourt;24810;
Hannapes;17480;
Happencourt;20780;
Haramont;21880;
Harcigny;17360;
Hargicourt;19510;
Harly;20330;
Hartennes-et-Taux;19640;
Hary;19680;
Lehaucourt;18880;
Hautevesnes;22500;
Hauteville;18740;
Haution;18020;
La Hérie;19390;
Le Hérie-la-Viéville;19520;
Hinacourt;;
Hirson;15440;30
Holnon;21910;
Homblières;22810;
Houry;;
