;;;;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;PROXIMITE;PROXIMITE;PROXIMITE;GRANDE_SURFACE;PROXIMITE;PROXIMITE;PROXIMITE;AUTRE;PROXIMITE;ELECTRONIQUE;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;PROXIMITE;PROXIMITE;PROXIMITE;PROXIMITE;AUTRE
id_departement;libelle_de_commune;annee;population;hypermarche;supermarche;grande_surface_de_bricolage;superette;epicerie;boulangerie;boucherie_charcuterie;produits_surgeles;poissonnerie;librairie_papeterie_journaux;magasin_de_vetements;magasin_d_equipements_du_foyer;magasin_de_chaussures;magasin_d_electromenager_et_de_mat_audio_video;magasin_de_meubles;magasin_d_articles_de_sports_et_de_loisirs;magasin_de_revetements_murs_et_sols;droguerie_quincaillerie_bricolage;parfumerie;horlogerie_bijouterie;fleuriste;magasin_d_optique;station_service
77;Blandy;1995;760;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
77;Blennes;1995;562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Boisdon;1995;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Bois-le-Roi;1995;5650;0;0;0;0;2;2;3;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0
77;Boissettes;1995;464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
77;Boissise-la-Bertrand;1995;1006;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
77;Boissise-le-Roi;1995;3572;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;2;0;0;1;0;0
77;Boissy-aux-Cailles;1995;315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Boissy-le-Châtel;1995;3110;0;1;0;0;2;2;1;0;0;0;0;1;0;0;1;1;0;2;0;0;1;0;0
77;Boitron;1995;393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
77;Bombon;1995;908;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Bougligny;1995;721;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Boulancourt;1995;366;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Bouleurs;1995;1441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Bourron-Marlotte;1995;2712;0;1;1;1;1;4;1;0;0;3;0;1;0;0;0;2;0;1;0;0;0;0;1
77;Boutigny;1995;875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Bransles;1995;505;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
77;Bray-sur-Seine;1995;2397;0;2;1;0;2;2;3;0;0;1;2;0;0;1;0;1;0;1;0;1;0;1;2
77;Bréau;1995;351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Brie-Comte-Robert;1995;16251;0;5;1;1;4;10;5;1;0;4;18;4;4;3;5;1;0;1;1;2;7;7;5
